date,nav,change_pct
2023-11-20,1.2247,0.0
2023-11-21,1.2131,-0.95
2023-11-22,1.1894,-1.95
2023-11-23,1.1998,0.87
2023-11-24,1.1828,-1.42
2023-11-27,1.1809,-0.16
2023-11-28,1.1897,0.75
2023-11-29,1.1842,-0.46
2023-11-30,1.1834,-0.07
2023-12-01,1.1861,0.23
2023-12-04,1.1662,-1.68
2023-12-05,1.1457,-1.76
2023-12-06,1.1619,1.41
2023-12-07,1.1576,-0.37
2023-12-08,1.1649,0.63
2023-12-11,1.173,0.7
2023-12-12,1.1704,-0.22
2023-12-13,1.1484,-1.88
2023-12-14,1.1424,-0.52
2023-12-15,1.1425,0.01
2023-12-18,1.1244,-1.58
2023-12-19,1.1248,0.04
2023-12-20,1.1097,-1.34
2023-12-21,1.1264,1.5
2023-12-22,1.1327,0.56
2023-12-25,1.1306,-0.19
2023-12-26,1.1207,-0.88
2023-12-27,1.1172,-0.31
2023-12-28,1.1805,5.67
2023-12-29,1.1879,0.63
2023-12-31,1.1877,-0.02
2024-01-02,1.1588,-2.43
2024-01-03,1.1506,-0.71
2024-01-04,1.1286,-1.91
2024-01-05,1.1109,-1.57
2024-01-08,1.0939,-1.53
2024-01-09,1.0959,0.18
2024-01-10,1.0942,-0.16
2024-01-11,1.1181,2.18
2024-01-12,1.1084,-0.87
2024-01-15,1.0969,-1.04
2024-01-16,1.0993,0.22
2024-01-17,1.0606,-3.52
2024-01-18,1.0738,1.24
2024-01-19,1.0627,-1.03
2024-01-22,1.0217,-3.86
2024-01-23,1.0236,0.19
2024-01-24,1.0278,0.41
2024-01-25,1.0515,2.31
2024-01-26,1.0181,-3.18
2024-01-29,0.9941,-2.36
2024-01-30,0.9669,-2.74
2024-01-31,0.9409,-2.69
2024-02-01,0.9395,-0.15
2024-02-02,0.9042,-3.76
2024-02-05,0.8722,-3.54
2024-02-06,0.932,6.86
2024-02-07,0.9541,2.37
2024-02-08,1.0064,5.48
2024-02-19,1.0046,-0.18
2024-02-20,1.0076,0.3
2024-02-21,1.0241,1.64
2024-02-22,1.0336,0.93
2024-02-23,1.0516,1.74
2024-02-26,1.0563,0.45
2024-02-27,1.0781,2.06
2024-02-28,1.0328,-4.2
2024-02-29,1.0673,3.34
2024-03-01,1.0895,2.08
2024-03-04,1.0971,0.7
2024-03-05,1.0793,-1.62
2024-03-06,1.0801,0.07
2024-03-07,1.0465,-3.11
2024-03-08,1.049,0.24
2024-03-11,1.0782,2.78
2024-03-12,1.0851,0.64
2024-03-13,1.0805,-0.42
2024-03-14,1.0813,0.07
2024-03-15,1.0794,-0.18
2024-03-18,1.1033,2.21
2024-03-19,1.1012,-0.19
2024-03-20,1.1053,0.37
2024-03-21,1.1176,1.11
2024-03-22,1.0976,-1.79
2024-03-25,1.0747,-2.09
2024-03-26,1.0739,-0.07
2024-03-27,1.0387,-3.28
2024-03-28,1.046,0.7
2024-03-29,1.0595,1.29
2024-04-01,1.0853,2.44
2024-04-02,1.0709,-1.33
2024-04-03,1.0633,-0.71
2024-04-08,1.0373,-2.45
2024-04-09,1.0565,1.85
2024-04-10,1.0268,-2.81
2024-04-11,1.0042,-2.2
