date,nav,change_pct
2024-06-04,1.0,0.0
2024-06-07,1.0022,0.0
2024-06-14,1.0109,0.0
2024-06-21,1.0199,0.0
2024-06-25,0.9597,0.0
2024-06-26,0.9787,1.98
2024-06-27,0.9604,-1.87
2024-06-28,0.9587,-0.18
2024-06-30,0.9587,0.0
2024-07-01,0.9628,0.43
2024-07-02,0.9468,-1.66
2024-07-03,0.9619,1.59
2024-07-04,0.9445,-1.81
2024-07-05,0.94,-0.48
2024-07-08,0.9355,-0.48
2024-07-09,0.9653,3.19
2024-07-10,0.9579,-0.77
2024-07-11,0.9619,0.42
2024-07-12,0.9759,1.46
2024-07-15,0.9815,0.57
2024-07-16,0.9984,1.72
2024-07-17,1.0025,0.41
2024-07-18,1.0205,1.8
2024-07-19,1.0276,0.7
2024-07-22,1.0269,-0.07
2024-07-23,0.9789,-4.67
2024-07-24,0.9604,-1.89
2024-07-25,0.9536,-0.71
2024-07-26,0.968,1.51
2024-07-29,0.9613,-0.69
2024-07-30,0.977,1.63
2024-07-31,1.0153,3.92
2024-08-01,1.0269,1.14
2024-08-02,1.0051,-2.12
2024-08-05,0.966,-3.89
2024-08-06,0.9769,1.13
2024-08-07,0.97,-0.71
2024-08-08,0.981,1.13
2024-08-09,0.9716,-0.96
2024-08-12,0.9625,-0.94
2024-08-13,0.9711,0.89
2024-08-14,0.9487,-2.31
2024-08-15,0.9528,0.43
2024-08-16,0.9497,-0.33
2024-08-19,0.9453,-0.46
2024-08-20,0.9322,-1.39
2024-08-21,0.9264,-0.62
2024-08-22,0.9113,-1.63
2024-08-23,0.9003,-1.21
2024-08-26,0.9039,0.4
2024-08-27,0.8945,-1.04
2024-08-28,0.9002,0.64
2024-08-29,0.9149,1.63
2024-08-30,0.9391,2.65
2024-09-02,0.9038,-3.76
2024-09-03,0.9109,0.79
2024-09-04,0.9087,-0.24
2024-09-05,0.9105,0.2
2024-09-06,0.8902,-2.23
2024-09-09,0.8858,-0.49
2024-09-10,0.8975,1.32
2024-09-11,0.8968,-0.08
2024-09-12,0.8888,-0.89
2024-09-13,0.8731,-1.77
2024-09-18,0.8747,0.18
2024-09-19,0.8741,-0.07
2024-09-20,0.8648,-1.06
2024-09-23,0.8495,-1.77
2024-09-24,0.8827,3.91
2024-09-25,0.882,-0.08
2024-09-26,0.9184,4.13
2024-09-27,0.9797,6.67
2024-09-30,1.1157,13.88
2024-10-08,1.2804,14.76
2024-10-09,1.2647,-1.23
2024-10-10,1.1897,-5.93
2024-10-11,1.1167,-6.14
2024-10-14,1.1442,2.46
2024-10-15,1.1276,-1.45
2024-10-16,1.1134,-1.26
2024-10-17,1.1059,-0.67
2024-10-18,1.2169,10.04
2024-10-21,1.2308,1.14
2024-10-22,1.2183,-1.02
2024-10-23,1.2085,-0.8
2024-10-24,1.21,0.12
2024-10-25,1.23,1.65
2024-10-28,1.2192,-0.88
2024-10-29,1.2082,-0.9
2024-10-30,1.2075,-0.06
2024-10-31,1.2496,3.49
2024-11-01,1.2127,-2.95
2024-11-04,1.2503,3.1
2024-11-05,1.286,2.86
2024-11-06,1.2883,0.18
2024-11-07,1.3197,2.44
2024-11-08,1.367,3.58
2024-11-11,1.4621,6.96
2024-11-12,1.4383,-1.63
2024-11-13,1.4391,0.06
2024-11-14,1.3879,-3.56
2024-11-15,1.3167,-5.13
2024-11-18,1.2999,-1.28
2024-11-19,1.3399,3.08
2024-11-20,1.3396,-0.02
2024-11-21,1.3442,0.34
2024-11-22,1.2967,-3.53
2024-11-25,1.2991,0.19
2024-11-26,1.2843,-1.14
2024-11-27,1.3106,2.05
2024-11-28,1.3026,-0.61
2024-11-29,1.3299,2.1
2024-12-02,1.3357,0.44
2024-12-03,1.3156,-1.5
2024-12-04,1.3029,-0.97
2024-12-05,1.2941,-0.68
2024-12-06,1.3095,1.19
2024-12-09,1.2876,-1.67
2024-12-10,1.3024,1.15
2024-12-11,1.2906,-0.91
2024-12-12,1.2948,0.33
2024-12-13,1.2684,-2.04
2024-12-16,1.2348,-2.65
2024-12-17,1.2266,-0.66
2024-12-18,1.2438,1.4
2024-12-19,1.2483,0.36
2024-12-20,1.2771,2.31
2024-12-23,1.2491,-2.19
2024-12-24,1.2649,1.26
2024-12-25,1.2431,-1.72
2024-12-26,1.2501,0.56
2024-12-27,1.2489,-0.1
2024-12-30,1.2411,-0.62
2024-12-31,1.1931,-3.87
2025-01-02,1.1496,-3.65
2025-01-03,1.1364,-1.15
2025-01-06,1.1395,0.27
2025-01-07,1.1634,2.1
2025-01-08,1.154,-0.81
2025-01-09,1.1545,0.04
2025-01-10,1.142,-1.08
2025-01-13,1.1481,0.53
2025-01-14,1.1971,4.27
2025-01-15,1.1837,-1.12
2025-01-16,1.1927,0.76
2025-01-17,1.2038,0.93
2025-01-20,1.1963,-0.62
2025-01-21,1.2022,0.49
2025-01-22,1.1887,-1.12
2025-01-23,1.1827,-0.5
2025-01-24,1.1893,0.56
2025-01-27,1.1661,-1.95
2025-02-05,1.1728,0.57
2025-02-06,1.2339,5.21
2025-02-07,1.2346,0.06
2025-02-10,1.2368,0.18
2025-02-11,1.2207,-1.3
2025-02-12,1.2549,2.8
2025-02-13,1.229,-2.06
2025-02-14,1.2238,-0.42
2025-02-17,1.2353,0.94
2025-02-18,1.2345,-0.06
2025-02-19,1.292,4.66
2025-02-20,1.2934,0.11
2025-02-21,1.3196,2.03
2025-02-24,1.3333,1.04
2025-02-25,1.329,-0.32
2025-02-26,1.3366,0.57
2025-02-27,1.3229,-1.02
2025-02-28,1.2802,-3.23
2025-03-03,1.2678,-0.97
2025-03-04,1.282,1.12
2025-03-05,1.285,0.23
2025-03-06,1.3324,3.69
2025-03-07,1.3214,-0.83
2025-03-10,1.3072,-1.07
2025-03-11,1.3012,-0.46
2025-03-12,1.2835,-1.36
2025-03-13,1.2591,-1.9
2025-03-14,1.2807,1.72
2025-03-17,1.2809,0.02
2025-03-18,1.2848,0.3
2025-03-19,1.2674,-1.35
2025-03-20,1.2528,-1.15
2025-03-21,1.2332,-1.56
2025-03-24,1.2452,0.97
2025-03-25,1.2371,-0.65
2025-03-26,1.2312,-0.48
2025-03-27,1.2468,1.27
2025-03-28,1.2227,-1.93
2025-03-31,1.2251,0.2
2025-04-01,1.243,1.46
2025-04-02,1.2345,-0.68
2025-04-03,1.2346,0.01
2025-04-07,1.1464,-7.14
2025-04-08,1.1509,0.39
2025-04-09,1.2032,4.54
2025-04-10,1.2114,0.68
2025-04-11,1.2459,2.85
2025-04-14,1.2417,-0.34
2025-04-15,1.2318,-0.8
