date,open,high,low,close,volume
2025-08-26,47.66999816894531,48.310001373291016,47.11000061035156,47.16999816894531,61436118
2025-08-27,47.16999816894531,47.61000061035156,45.810001373291016,45.86000061035156,81628629
2025-08-28,45.84000015258789,46.59000015258789,45.20000076293945,46.56999969482422,67412389
2025-08-29,46.58000183105469,48.91999816894531,46.20000076293945,48.04999923706055,117988797
2025-09-01,48.5,50.220001220703125,47.540000915527344,50.220001220703125,140423023
2025-09-02,49.709999084472656,49.7400016784668,47.16999816894531,47.779998779296875,118697761
2025-09-03,47.83000183105469,48.790000915527344,46.88999938964844,47.5,77932215
2025-09-04,47.33000183105469,49.38999938964844,46.06999969482422,47.27000045776367,99021725
2025-09-05,47.08000183105469,50.880001068115234,46.279998779296875,50.75,144649207
2025-09-08,51.72999954223633,54.060001373291016,50.58000183105469,53.20000076293945,154784715
2025-09-09,52.5,53.900001525878906,51.290000915527344,51.33000183105469,111384240
2025-09-10,50.79999923706055,52.650001525878906,50.400001525878906,51.0,84339301
2025-09-11,51.0,51.7599983215332,50.25,51.650001525878906,72967122
2025-09-12,51.97999954223633,53.54999923706055,51.27000045776367,52.29999923706055,115175329
2025-09-15,52.5,54.75,52.20000076293945,52.25,115571890
2025-09-16,52.220001220703125,52.70000076293945,49.95000076293945,51.88999938964844,106945492
2025-09-17,51.79999923706055,52.18000030517578,51.040000915527344,51.70000076293945,65236747
2025-09-18,51.7400016784668,51.970001220703125,49.90999984741211,50.56999969482422,84364265
2025-09-19,50.20000076293945,52.45000076293945,50.130001068115234,51.560001373291016,90136070
2025-09-22,53.97999954223633,54.54999923706055,52.20000076293945,52.720001220703125,119241833
2025-09-23,52.099998474121094,54.16999816894531,51.279998779296875,52.47999954223633,97188716
2025-09-24,52.689998626708984,56.54999923706055,52.5,55.52000045776367,132319270
2025-09-25,56.31999969482422,57.0,55.0099983215332,55.61000061035156,93348523
2025-09-26,55.75,58.5,55.75,57.130001068115234,96335288
2025-09-29,58.400001525878906,60.86000061035156,57.33000183105469,60.25,110812077
2025-09-30,61.560001373291016,66.27999877929688,61.16999816894531,65.9000015258789,156843339
2025-10-09,67.02999877929688,70.29000091552734,66.55999755859375,70.29000091552734,167364772
2025-10-10,68.0,68.01000213623047,63.650001525878906,64.8499984741211,147866597
2025-10-13,61.29999923706055,71.33999633789062,61.29999923706055,70.4800033569336,149580619
2025-10-14,72.80000305175781,73.0,64.01000213623047,65.16999816894531,157098110
2025-10-15,65.62999725341797,67.30000305175781,63.31999969482422,65.33999633789062,102460838
2025-10-16,65.0,66.08000183105469,64.08999633789062,64.68000030517578,72985207
2025-10-17,64.8499984741211,65.37000274658203,60.97999954223633,61.459999084472656,105914386
2025-10-20,61.25,61.95000076293945,58.959999084472656,60.529998779296875,90199038
2025-10-21,61.56999969482422,63.34000015258789,60.790000915527344,62.619998931884766,88727241
2025-10-22,60.900001525878906,62.45000076293945,60.59000015258789,61.70000076293945,49518324
