date,nav,change_pct
2021-07-30,1.0,0.0
2021-08-02,0.9992,-0.08
2021-08-06,0.9968,0.0
2021-08-13,0.9991,0.0
2021-08-20,0.988,0.0
2021-08-27,0.9978,0.0
2021-09-03,1.0002,0.0
2021-09-10,0.9957,0.0
2021-09-17,0.9891,0.0
2021-09-24,0.9796,0.0
2021-09-30,0.9866,0.0
2021-10-08,0.9803,-0.64
2021-10-11,0.981,0.07
2021-10-12,0.9785,-0.25
2021-10-13,0.9893,1.1
2021-10-14,0.9899,0.06
2021-10-15,0.9956,0.58
2021-10-18,0.9927,-0.29
2021-10-19,0.9968,0.41
2021-10-20,0.9973,0.05
2021-10-21,0.9934,-0.39
2021-10-22,1.0027,0.94
2021-10-25,1.0038,0.11
2021-10-26,1.0014,-0.24
2021-10-27,0.9943,-0.71
2021-10-28,0.9917,-0.26
2021-10-29,0.995,0.33
2021-11-01,0.9939,-0.11
2021-11-02,0.9905,-0.34
2021-11-03,0.9884,-0.21
2021-11-04,1.0004,1.21
2021-11-05,0.9983,-0.21
2021-11-08,0.9985,0.02
2021-11-09,0.9982,-0.03
2021-11-10,0.9941,-0.41
2021-11-11,1.0,0.59
2021-11-12,0.9995,-0.05
2021-11-15,1.0028,0.33
2021-11-16,1.0181,1.53
2021-11-17,1.0199,0.18
2021-11-18,1.006,-1.36
2021-11-19,1.0151,0.9
2021-11-22,1.015,-0.01
2021-11-23,1.0062,-0.87
2021-11-24,1.0151,0.88
2021-11-25,1.0186,0.34
2021-11-26,1.0007,-1.76
2021-11-29,1.0025,0.18
2021-11-30,0.9878,-1.47
2021-12-01,0.9797,-0.82
2021-12-02,0.9815,0.18
2021-12-03,0.9811,-0.04
2021-12-06,0.9683,-1.3
2021-12-07,0.9821,1.43
2021-12-08,1.0008,1.9
2021-12-09,1.0059,0.51
2021-12-10,0.9996,-0.63
2021-12-13,0.9912,-0.84
2021-12-14,0.9864,-0.48
2021-12-15,0.9728,-1.38
2021-12-16,0.9713,-0.15
2021-12-17,0.9574,-1.43
2021-12-20,0.944,-1.4
2021-12-21,0.9536,1.02
2021-12-22,0.9582,0.48
2021-12-23,0.9655,0.76
2021-12-24,0.9701,0.48
2021-12-27,0.9659,-0.43
2021-12-28,0.9659,0.0
2021-12-29,0.952,-1.44
2021-12-30,0.9591,0.75
2021-12-31,0.9621,0.31
2022-01-04,0.9526,-0.99
2022-01-05,0.9356,-1.78
2022-01-06,0.9307,-0.52
2022-01-07,0.9201,-1.14
2022-01-10,0.9197,-0.04
2022-01-11,0.9139,-0.63
2022-01-12,0.9236,1.06
2022-01-13,0.9064,-1.86
2022-01-14,0.9048,-0.18
2022-01-17,0.9052,0.04
2022-01-18,0.9059,0.08
2022-01-19,0.9053,-0.07
2022-01-20,0.9147,1.04
2022-01-21,0.9116,-0.34
2022-01-24,0.9088,-0.31
2022-01-25,0.8986,-1.12
2022-01-26,0.8985,-0.01
2022-01-27,0.8915,-0.78
2022-01-28,0.888,-0.39
2022-02-07,0.8996,1.31
2022-02-08,0.8939,-0.63
2022-02-09,0.9141,2.26
2022-02-10,0.916,0.21
2022-02-11,0.9092,-0.74
2022-02-14,0.9038,-0.59
2022-02-15,0.9121,0.92
2022-02-16,0.9159,0.42
2022-02-17,0.9147,-0.13
2022-02-18,0.9089,-0.63
2022-02-21,0.905,-0.43
2022-02-22,0.8904,-1.61
2022-02-23,0.8948,0.49
2022-02-24,0.8759,-2.11
2022-02-25,0.8823,0.73
2022-02-28,0.8808,-0.17
2022-03-01,0.8861,0.6
2022-03-02,0.8809,-0.59
2022-03-03,0.8664,-1.65
2022-03-04,0.8573,-1.05
2022-03-07,0.8299,-3.2
2022-03-08,0.8163,-1.64
2022-03-09,0.8168,0.06
2022-03-10,0.8233,0.8
2022-03-11,0.8147,-1.04
2022-03-14,0.78,-4.26
2022-03-15,0.7595,-2.63
2022-03-16,0.7916,4.23
2022-03-17,0.8131,2.72
2022-03-18,0.812,-0.14
2022-03-21,0.8116,-0.05
2022-03-22,0.8212,1.18
2022-03-23,0.8237,0.3
2022-03-24,0.8177,-0.73
2022-03-25,0.8002,-2.14
2022-03-28,0.793,-0.9
2022-03-29,0.7977,0.59
2022-03-30,0.8127,1.88
2022-03-31,0.8067,-0.74
2022-04-01,0.8146,0.98
2022-04-06,0.8113,-0.41
2022-04-07,0.8035,-0.96
2022-04-08,0.8038,0.04
2022-04-11,0.7856,-2.26
2022-04-12,0.8019,2.07
2022-04-13,0.8023,0.05
2022-04-14,0.8164,1.76
2022-04-15,0.8178,0.17
2022-04-18,0.8148,-0.37
2022-04-19,0.8052,-1.18
2022-04-20,0.8053,0.01
2022-04-21,0.7975,-0.97
2022-04-22,0.8024,0.61
2022-04-25,0.7817,-2.58
2022-04-26,0.7926,1.39
2022-04-27,0.8037,1.4
2022-04-28,0.8103,0.82
2022-04-29,0.822,1.44
2022-05-05,0.8101,-1.45
2022-05-06,0.7929,-2.12
2022-05-09,0.7916,-0.16
2022-05-10,0.7957,0.52
2022-05-11,0.7991,0.43
2022-05-12,0.7924,-0.84
2022-05-13,0.806,1.72
2022-05-16,0.8038,-0.27
2022-05-17,0.8127,1.11
2022-05-18,0.8087,-0.49
2022-05-19,0.8008,-0.98
2022-05-20,0.8155,1.84
2022-05-23,0.8033,-1.5
2022-05-24,0.7884,-1.85
2022-05-25,0.7889,0.06
2022-05-26,0.7899,0.13
2022-05-27,0.8042,1.81
2022-05-30,0.8145,1.28
2022-05-31,0.8283,1.69
2022-06-01,0.8238,-0.54
2022-06-02,0.8265,0.33
2022-06-06,0.837,1.27
2022-06-07,0.8406,0.43
2022-06-08,0.8491,1.01
