date,nav,change_pct
2022-07-15,1.0,0.0
2022-07-22,0.9998,0.0
2022-07-29,0.9978,0.0
2022-08-05,1.0005,0.0
2022-08-12,1.0014,0.0
2022-08-19,0.9919,0.0
2022-08-26,0.965,0.0
2022-09-02,0.9562,0.0
2022-09-07,0.9903,0.0
2022-09-08,1.0011,1.09
2022-09-09,0.9967,-0.44
2022-09-13,1.0062,0.95
2022-09-14,1.0177,1.14
2022-09-15,1.0009,-1.65
2022-09-16,1.0052,0.43
2022-09-19,0.9956,-0.96
2022-09-20,0.9923,-0.33
2022-09-21,0.9871,-0.52
2022-09-22,1.0023,1.54
2022-09-23,1.0009,-0.14
2022-09-26,0.9766,-2.43
2022-09-27,0.9863,0.99
2022-09-28,0.9539,-3.29
2022-09-29,0.9576,0.39
2022-09-30,0.9308,-2.8
2022-10-10,0.9172,-1.46
2022-10-11,0.9192,0.22
2022-10-12,0.9336,1.57
2022-10-13,0.9424,0.94
2022-10-14,0.9596,1.83
2022-10-17,0.9815,2.28
2022-10-18,0.9832,0.17
2022-10-19,0.9784,-0.49
2022-10-20,0.9782,-0.02
2022-10-21,0.9753,-0.3
2022-10-24,1.0198,4.56
2022-10-25,1.021,0.12
2022-10-26,1.0296,0.84
2022-10-27,1.0177,-1.16
2022-10-28,1.0131,-0.45
2022-10-31,1.0284,1.51
2022-11-01,1.0083,-1.95
2022-11-02,0.9922,-1.6
2022-11-03,1.0042,1.21
2022-11-04,1.0023,-0.19
2022-11-07,0.9785,-2.37
2022-11-08,0.9799,0.14
2022-11-09,0.9733,-0.67
2022-11-10,0.9541,-1.97
2022-11-11,0.9587,0.48
2022-11-14,0.945,-1.43
2022-11-15,0.9573,1.3
2022-11-16,0.9549,-0.25
2022-11-17,0.9549,0.0
2022-11-18,0.9407,-1.49
2022-11-21,0.9506,1.05
2022-11-22,0.9469,-0.39
2022-11-23,0.9461,-0.08
2022-11-24,0.9391,-0.74
2022-11-25,0.9232,-1.69
2022-11-28,0.9267,0.38
2022-11-29,0.9172,-1.03
2022-11-30,0.9165,-0.08
2022-12-01,0.9268,1.12
2022-12-02,0.917,-1.06
2022-12-05,0.9094,-0.83
2022-12-06,0.915,0.62
2022-12-07,0.9127,-0.25
2022-12-08,0.8987,-1.53
2022-12-09,0.898,-0.08
2022-12-12,0.9103,1.37
2022-12-13,0.895,-1.68
2022-12-14,0.8904,-0.51
2022-12-15,0.8929,0.28
2022-12-16,0.8812,-1.31
2022-12-19,0.876,-0.59
2022-12-20,0.8757,-0.03
2022-12-21,0.8611,-1.67
2022-12-22,0.8508,-1.2
2022-12-23,0.8399,-1.28
2022-12-26,0.8721,3.83
2022-12-27,0.8825,1.19
2022-12-28,0.8716,-1.24
2022-12-29,0.8863,1.69
2022-12-30,0.8842,-0.24
2022-12-31,0.8842,0.0
2023-01-03,0.9106,2.99
2023-01-04,0.9046,-0.66
2023-01-05,0.9066,0.22
2023-01-06,0.8988,-0.86
2023-01-09,0.8793,-2.17
2023-01-10,0.8723,-0.8
2023-01-11,0.8609,-1.31
2023-01-12,0.8608,-0.01
2023-01-13,0.8479,-1.5
2023-01-16,0.8563,0.99
2023-01-17,0.8637,0.86
2023-01-18,0.867,0.38
2023-01-19,0.8845,2.02
2023-01-20,0.8831,-0.16
2023-01-30,0.9048,2.46
2023-01-31,0.9039,-0.1
2023-02-01,0.9141,1.13
2023-02-02,0.9024,-1.28
2023-02-03,0.9143,1.32
2023-02-06,0.9111,-0.35
2023-02-07,0.9044,-0.74
2023-02-08,0.8922,-1.35
2023-02-09,0.9095,1.94
2023-02-10,0.8987,-1.19
2023-02-13,0.8991,0.04
2023-02-14,0.8934,-0.63
2023-02-15,0.8891,-0.48
2023-02-16,0.8747,-1.62
2023-02-17,0.8656,-1.04
2023-02-20,0.8666,0.12
2023-02-21,0.8725,0.68
2023-02-22,0.8766,0.47
2023-02-23,0.8762,-0.05
2023-02-24,0.8896,1.53
2023-02-27,0.8878,-0.2
2023-02-28,0.8869,-0.1
2023-03-01,0.8878,0.1
2023-03-02,0.8844,-0.38
2023-03-03,0.8939,1.07
2023-03-06,0.9085,1.63
2023-03-07,0.8862,-2.45
2023-03-08,0.896,1.11
2023-03-09,0.8896,-0.71
2023-03-10,0.8746,-1.69
2023-03-13,0.877,0.27
2023-03-14,0.8689,-0.92
2023-03-15,0.8573,-1.34
2023-03-16,0.843,-1.67
2023-03-17,0.8382,-0.57
2023-03-20,0.8308,-0.88
2023-03-21,0.8451,1.72
2023-03-22,0.8409,-0.5
2023-03-23,0.8464,0.65
2023-03-24,0.8397,-0.79
2023-03-27,0.8332,-0.77
2023-03-28,0.8162,-2.04
2023-03-29,0.8082,-0.98
2023-03-30,0.8176,1.16
2023-03-31,0.819,0.17
2023-04-03,0.8249,0.72
2023-04-04,0.8172,-0.93
2023-04-06,0.8285,1.38
2023-04-07,0.8316,0.37
2023-04-10,0.8252,-0.77
2023-04-11,0.8201,-0.62
2023-04-12,0.8186,-0.18
2023-04-13,0.8148,-0.46
2023-04-14,0.8206,0.71
2023-04-17,0.8219,0.16
2023-04-18,0.8209,-0.12
2023-04-19,0.8126,-1.01
2023-04-20,0.8077,-0.6
2023-04-21,0.8024,-0.66
2023-04-24,0.7932,-1.15
2023-04-25,0.7805,-1.6
2023-04-26,0.7903,1.26
2023-04-27,0.8053,1.9
2023-04-28,0.8043,-0.12
2023-05-04,0.7984,-0.73
2023-05-05,0.7903,-1.01
2023-05-08,0.8088,2.34
2023-05-09,0.7939,-1.84
2023-05-10,0.7858,-1.02
2023-05-11,0.7794,-0.81
2023-05-12,0.7695,-1.27
2023-05-15,0.788,2.4
2023-05-16,0.7833,-0.6
2023-05-17,0.7986,1.95
2023-05-18,0.7957,-0.36
2023-05-19,0.8014,0.72
2023-05-22,0.7985,-0.36
2023-05-23,0.7875,-1.38
2023-05-24,0.7839,-0.46
2023-05-25,0.7888,0.63
2023-05-26,0.787,-0.23
2023-05-29,0.7918,0.61
2023-05-30,0.7866,-0.66
2023-05-31,0.7866,0.0
2023-06-01,0.7862,-0.05
2023-06-02,0.7833,-0.37
2023-06-05,0.7723,-1.4
2023-06-06,0.7535,-2.43
2023-06-07,0.7504,-0.41
2023-06-08,0.7483,-0.28
2023-06-09,0.7555,0.96
2023-06-12,0.7461,-1.24
2023-06-13,0.7472,0.15
2023-06-14,0.7457,-0.2
2023-06-15,0.756,1.38
2023-06-16,0.7654,1.24
2023-06-19,0.7664,0.13
2023-06-20,0.7895,3.01
2023-06-21,0.7763,-1.67
2023-06-26,0.7683,-1.03
2023-06-27,0.776,1.0
2023-06-28,0.7814,0.7
